common_name,soundalike_group,soundalike,song_desc,call_desc,other_desc,rec_regional,scientific_name,macaulay_greaterthan10,id,subspecies,habitat,residency,rarity,season_pre,season_breeding,season_post,mra_pre,mra_breeding,mra_post,iucn,rec_field_guide,notes,priority,status,PNW-CNet,https://zenodo.org/records/10252138
Ruffed Grouse,4 and 5,?,N/A,"Ruffed Grouse are mostly quiet, but they do make sounds. Female calls include a nasal squeal or hiss-like alarm call, and a pete-pete-peta-peta call made before flushing. They quiet chicks with a scolding call and emit a low, cooing hum to gather their brood. Male calls include a hiss note, a queet call prior to flushing, and a whining call triggered by females or other males near the drumming site.","The male Ruffed Grouse’s unique drumming display takes place from atop a low log, stump, or rock. The deep, thumping sound starts slowly and builds to a blurred crescendo as the bird rapidly rotates his wings back and forth. The drumming sequence lasts 8–10 seconds, during which the wings may beat up to 50 times. Displays are most frequent just before and after sunrise, although they can continue into early evening. Listen for male’s drumming on moonlit nights, too.",https://search.macaulaylibrary.org/catalog?regionCode=US-WA&taxonCode=rufgro&tag=call,Bonasa umbellus,FEW,rufgro,sabini,Forests,Year round,C,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.03,,,,1
Rufous Hummingbird,4 and 8,?,N/A,Male and female Rufous Hummingbirds make a fast series of warning chip notes at intruding birds. Males performing a dive display for a female make a chu-chu-chu-chu sound at the bottom of their dive.,Rufous Hummingbirds make more of a hum with their wings than many hummingbird species (except the broad-tailed). Males make a high-pitched trill as wind passes over specially shaped wing feathers. Both sexes make a lower hum or whine as they beat their wings. They can control the pitch and loudness of this sound by changing how fast they move their wings.,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&taxonCode=rufhum&tag=call,Selasphorus rufus,FEW,rufhum,Monotypic,Open Woodlands,Breeding,C,1 Feb-17 May,24 May-14 Jun,21 Jun-18 Oct,0.1,0.2,0.1,NT,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,Declining,,1
Sagebrush Sparrow,6,?,,,,,,FEW,sagspa1,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Savannah Sparrow,4 and 8,?,,,,,,YES,savspa,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Say's Phoebe,7,?,,,,,,YES,saypho,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Sharp-shinned Hawk,4,?,"The Sharp-shinned Hawk has no true song, but males and females vocalize to each other during courtship with a plaintive squeal or a series of excited kik-kik-kik calls. Because they are smaller, males tend to have higher voices than females. Mated pairs call to each other during the breeding season, making nesting the noisiest time for this usually silent bird.","The Sharp-shinned Hawk’s typical call is a high-pitched, frantic kik-kik-kik. It’s used as an alarm call, during courtship, and by young birds just before they fledge. Nestlings and brooding females give a thin, high-pitched call to beg for food when the male brings prey to the nest.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=call&taxonCode=shshaw,Accipiter striatus,FEW,shshaw,perobscurus,Forests,Nonbreeding,U,8 Mar-24 May,31 May-19 Jul,26 Jul-22 Nov,0.02,0.004,0.08,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Likely no residency during breeding season,,,,
Song Sparrow,6,?,"The Song Sparrow sings a loud, clanking song of 2–6 phrases that typically starts with abrupt, well-spaced notes and finishes with a buzz or trill. In between, the singer may add other trills with different tempo and quality. The song usually lasts 2-4 seconds. Patterns of songs vary over the species’ enormous range, so the Song Sparrows you hear when traveling may not sound quite like those from your hometown.","Song Sparrows have a sharp chip note to indicate alarm or anxiety; both sexes make it when excited or if predators approach a nest. Females make a harsh chatter at their mates during nest-building, or at a female intruding on the territory. Young or subordinate birds make a softer, tsip note.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=sonspa4,Melospiza melodia,YES,sonspa,morphna,Open Woodlands,Year round,C,22 Feb-24 May,31 May-12 Jul,9 Aug-29 Nov,1.2,1.2,1.2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Sooty Grouse,5,?,Male makes very deep hooting.,"Males advertise their territory with a low-pitched, loud hoot or series of them. They give this vocalization to mark territory and to attract females, so some authors refer to this as “song.” Males also give a growling gugugug or more staccato cak-cak-cak when confronting rivals or other intruders, including mammals. Females give a quavering cackle or whinny to show interest to advertising males. In aggressive encounters, they give a hiss or chicken-like cluck. Females stay in contact with chicks using a quiet tu, sometimes repeated. If separated from her brood, hens give loud, high-pitched skree, kweer-kweer, and kwa-kwa calls.",Males in display flight or chases often make audible wing noise.,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=soogro1,Dendragapus fuliginosus,YES,soogro1,fuliginosus,Forests,Year round,C,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.05,,Declining,1,1
Spotted Owl,5,Barred Owl,N/A,"Spotted Owls give up to 13 different hooting, barking, and whistling calls, although only a few are common. The owl's signal call—used by adult males and females to mark and defend territory, and by males delivering food to females—is a series of four hooted notes, with the middle two closest together. The hoots have a deep, pure tone, with females' voices higher than males. To stay in contact, mated pairs also emit a hollow whistling sound that rises in pitch at the end. Fledged young give a similar high-pitched whistle to beg for food.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=call&taxonCode=spoowl,Strix occidentalis,"Yes, but from North America with no year bounds",spoowl2,caurina,Forests,Year round,R,N/A,N/A,N/A,N/A,N/A,N/A,NT,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.0001,1,Declining,1,1
Spotted Towhee,6,?,"Spotted Towhees have a fairly simple song, a drier faster take on the Eastern Towhee’s drink-your-tea song that often omits the middle section. It lasts about 1.5 seconds. The song starts with one or two (up to eight) short introductory notes and then a fast trill that can sound like a taut rubber band being plucked, or a piece of paper stuck into a fan. Some Spotted Towhee songs have just the trill phrase only.","Spotted Towhees make a catlike mew call, a little more than a half-second long. It seems to be used for scolding as well as by perched or foraging birds. Pairs sometimes exchange a soft, lisping call to stay in contact. Spotted Towhees also give a high, thin flight call.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=spotow1,Pipilo maculatus,YES,spotow,oregonus,Scrub,Year round,U,22 Feb-24 May,31 May-16 Aug,23 Aug-22 Nov,0.1,0.2,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Sometimes found in Olympic National Park,,,1,1
Steller's Jay,4,?,"Males and sometimes females sing a quiet series of whistled, gurgled, and, popping sounds that they string together. This song is most frequently heard during courtship.","Steller's Jays give a loud and repeated shook shook shook shook call year-round, in flight, while perched, and during aggressive interactions. They also make a variety of guttural sounds and a harsh, nasal sounding growl. Sometimes they mimics birds, mammals, and other sounds in their environment. Researchers have heard them imitating squirrels, Northern Flickers, Northern Goshawks, White-breasted Nuthatches, and mechanical sounds such as water sprinklers.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=stejay,Cyanocitta stelleri,YES,stejay,stelleri,Forests,Year round,C,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.6,1,,1,1
Swainson's Thrush,6,Cedar Waxwing,"The Swainson’s Thrush is best known for its distinctive, fluting song, the upward-spiraling melody that breeding males use to defend nests and territory and also probably to attract mates. While this song varies somewhat from one individual bird to the next, its whistling, constantly ascending quality is always recognizable once you’ve heard it.","Both sexes emit about a half dozen different one-or-two-note calls, none of which has the flutelike quality of the advertising song. Migrating birds utter a hollow peep or note that resembles the call of a spring peeper frog. Intruders or predators in the vicinity of a nest may hear a whit—a sharp, single note expressing alarm or the intention to distract. The bird may repeat this note to try to lure a human intruder away from a nest, and it may respond to a human imitation of the sound. Swainson’s Thrushes also have a thin, high-pitched, single-note whine similar to that of American Robin. They also make a bink like water dropping onto a hard surface, and a single, drawn-out, metallic peeer reminiscent of the song of the Varied Thrush, but not as long.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=swathr,Catharus ustulatus,YES,swathr,ustulatus,Forests,Breeding,C,22 Feb-7 Jun,14 Jun-9 Aug,16 Aug-15 Nov,0.1,0.1,0.07,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,1,1
Townsend's Solitaire,2 and 3,?,"The song of the Townsend’s Solitaire is a complex finchlike or thrasherlike song consisting of short, rich warbles that change abruptly in pitch. Each phrase is strung together in bouts lasting about a minute. Males and females sing throughout the year, but the female’s song is softer.","Townsend’s Solitaires have 4 types of calls. The most commonly heard is a high-pitched clear ringing note that they give about 30 times per minute. They give this tew call year-round to defend their territories. The other 3 types of calls include a harsh note used when defending their territories against other species; a single, low-pitched note given during food exchanges; and a harsh raspy alarm call given by breeding solitaires.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=towsol,Myadestes townsendi,YES,towsol,townsendi,Open Woodlands,Nonbreeding,R,8 Mar-31 May,7 Jun-23 Aug,30 Aug-15 Nov,0.08,0.05,0.08,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Likely no residency during breeding season,,,,1
Townsend's Warbler,6,Warblers,Males sing two song types. The primary song is a buzzy weazy weazy weazy tweea with ending notes on a higher pitch. A secondary song can be rendered swee swee swee zee and is heard mostly when males “countersing” (exchange songs) with rivals on the breeding grounds. Males sing occasionally during migration and sometimes in late winter before migration.,"Both sexes give a soft chip call; fighting males sometimes make a rapid twittering sound, as do females disturbed at the nest.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=towwar,Setophaga townsendi,YES,towwar,Monotypic,Forests,Year round,C,8 Mar-14 Jun,21 Jun-19 Jul,9 Aug-15 Nov,0.2,0.2,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,1,1
Tree Swallow,9,?,"Tree Swallow songs are high-pitched and liquid, composed of three sounds—a chirp, a whine, and a gurgle—which they mix and match in a variety of patterns. Both males and females sing.","Mates call to each other with the same chirps and gurgles that also appear in their songs. In addition, Tree Swallows give aggressive chatters, shrieking alarm calls, harsh distress calls, and amorous ticking sounds.","Tree Swallows may snap their bills defensively while perched, to keep other individuals from coming to close.",https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=treswa,Tachycineta bicolor,FEW,treswa,Monotypic,Lakes and Ponds,Breeding,U,25 Jan-24 May,31 May-21 Jun,28 Jun-29 Nov,0.4,0.4,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Breed in trees,,,,1
Turkey Vulture,4,?,N/A,"Turkey Vultures lack the vocal organs to make proper songs. Most of their vocalizations come down to a form of low, guttural hiss made when they are irritated or vying for a better spot on a carcass. They also may give a low, nasal whine while in flight.",,https://xeno-canto.org/species/Cathartes-aura,Cathartes aura,"Few, but from North America",turvul,aura,Open Woodlands,Breeding,R,8 Feb-26 Apr,3 May-30 Aug,6 Sep-29 Nov,0.1,0.2,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,"Sees unlikely to be detected, but possible",,,,
Varied Thrush,6,?,"Male Varied Thrushes sing a whistled, flutelike, sometimes burry tone on a single pitch. They sing mainly in the morning and evening, usually from the top of live conifers. Each song lasts about 2 seconds and is followed by a pause of 3–20 seconds. Successive tones may be on different pitches. This cycle is repeated for 10–15 minutes, until the bird flies to a new perch and starts again.","Both males and females make a variety of calls, usually in aggression or defense. Those calls include a short trill, a harsh churrr, and a series of low chect notes.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=varthr,Ixoreus naevius,YES,varthr,naevius,Forests,Year round,C,22 Feb-24 May,31 May-23 Aug,30 Aug-13 Dec,0.5,0.2,0.4,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/?speciesCode=varthr&species=Varied%20Thrush%20-%20Ixoreus%20naevius,,1,,1,1
Vaux's Swift,9,?,,"A high-pitched twittering similar to Chimney Swift but higher in pitch, more rapid and insectlike.","In the nest cavity, both adults and fledglings make an odd “booming” sound by rapidly fluttering their wings.",https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=call&taxonCode=vauswi,Chaetura vauxi,FEW,vauswi,vauxi,Forests,Breeding,C,29 Mar-7 Jun,14 Jun-2 Aug,9 Aug-1 Nov,0.7,0.2,2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,1,,,1
Vesper Sparrow,6,?,,,,,,FEW,vesspa,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Violet-green Swallow,8,?,"Although the Violet-green Swallow is a member of the songbird group, its song is a simple series of chirps and is only heard during the pre-dawn hours.","Their calls are the most frequently heard sounds. In flight they give a short chee-chee, which they often string together for several seconds as they interact with other swallows. They twitter during courtship and territory establishment or in combination with other calls. When defending the nest site, they sometimes give a sharp zwark.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=vigswa,Tachycineta thalassina,FEW,vigswa,thalassina,Open Woodlands,Breeding,U,25 Jan-10 May,17 May-12 Jul,19 Jul-15 Nov,0.8,0.8,1.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Warbling Vireo,2,Finches,"Male Warbling Vireos sing a rapid, undulating, highly variable song with a rich, burbling quality lasting about 3 seconds. The song usually concludes with an accented note pitched higher than the preceding melody. Males sometimes sing from the nest.","Warbling Vireos use many calls, particularly a raspy, descending scold call as well as a low spitting note. Female have a courtship call that they sometimes give in a loose duet with the male.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=warvir,Vireo gilvus,YES,warvir,swainsoni,Open Woodlands,Breeding,C,1 Mar-21 Jun,28 Jun-12 Jul,19 Jul-22 Nov,0.3,0.4,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Western Bluebird,6,?,,,,,,FEW,wesblu,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Western Kingbird,7,?,,,,,,FEW,weskin,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Western Screech-Owl,5,?,"Heard at dusk and into the night, the Western Screech-Owl's most distinctive vocalization is its ""bouncing ball"" song: a series of 5–9 short, whistled hoots, speeding up ping-pong-ball fashion toward the end. The male uses this for territorial and courtship advertising, often calling from a nest tree or a prospective nest site. In duets sung by a mating pair, the female's notes are interspersed with the male's—her voice higher than her mate's, despite her larger size.","To stay in contact, pairs of screech-owls use a short ""double trill"" call; when agitated, they make a barking sound. Adult females whinny in response to the male's bouncing ball song, and to solicit feeding and copulation.","Western Screech-Owls snap their bills when approached closely by a potential predator such as a crow, squirrel, or human. Nestlings begin doing this when they are about 8 days old.",https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=wesowl1,Megascops kennicottii,YES,wesowl1,kennicottii,Open woodlands,Year round,U,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.0008,,,1,
Western Tanager,3,"American Robin, Black-headed Grosbeak, Red-eyed Vireo","Male Western Tanagers sing a short, rasping song that lasts about 2.5 seconds and consists of a few short, burry up-and-down phrases, sometimes likened to the bird asking and answering a series of rapid-fire questions. The song is reminiscent of an American Robin’s song but usually shorter and hoarser or raspier in tone.","The most common call of the Western Tanager is a short, 2-3 note chuckling or rattling call, similar to a Summer Tanager’s call.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=westan,Piranga ludoviciana,YES,westan,Monotypic,Forests,None,C,5 Apr-7 Jun,14 Jun-12 Jul,19 Jul-8 Nov,0.4,0.6,0.2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Breeding range is very close but does not overlap with OESF,,,,1
Western Wood-Pewee,7,?,"Western Wood-Pewees sing a burry and nasal sounding version of their own name, pee-wee or pee-er. This song is sung from an exposed perch and is heard throughout the day on the breeding grounds and during migration. At dawn males sing a long peee followed by two short pip pip notes, with a bit of the pee-wee song thrown in as well. Their song is much burrier and shorter than the Eastern Wood-Pewee’s song.",Males and females give a burry bzew when communicating with their mates or when defending their nests. The call has a similar quality to the pee-wee song but it has only one syllable. They repeat this call every 0.5–2 seconds.,,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=wewpew,Contopus sordidulus,YES,wewpew,saturatus,Open Woodlands,Breeding,U,8 Mar-28 Jun,5 Jul-26 Jul,2 Aug-20 Dec,0.3,0.8,0.2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
White-crowned Sparrow,6,Varied Thrush,"The song of the White-crowned Sparrow Is one of the most-studied sounds in all of animal behavior. Different subspecies across the country sing clearly different songs, but they’re all recognizable by the sweet, whistling introduction, a succession of jumbled whistles, and a buzz or trill near the end. Songs last 2-3 seconds. Females sing only rarely.","White-crowned Sparrows have about 10 different calls. The most frequently heard include a sharp pink, lower-pitched than the White-throated Sparrow’s call. It’s usually made by males or as an alarm call near the nest. They also make a harsh, rasping call used by sparrows during altercations.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=pswspa1,Zonotrichia leucophrys,YES,whcspa,pugetensis,Scrub,Year round,C,22 Mar-14 Jun,21 Jun-2 Aug,9 Aug-22 Nov,1.3,0.3,2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Sometimes found in forests,,,,1
White-tailed Ptarmigan,4,?,"No song in the conventional sense, but males often deliver a so-called ""flight scream,"" a short series of high, screeching clucks, given during aerial displays over territory.",White-tailed Ptarmigan are most vocal during the nesting season. Both sexes produce a series of nasal clucks and growls.,Displaying males audibly drag their wingtips over the ground.,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&taxonCode=whtpta1&tag=call,Lagopus leucura,FEW,whtpta1,rainierensis,Tundra,Year round,R,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,"Can (rarely) be found in the area, but only at higher elevations, Year round abundance is 0.001",,,,
White-throated Sparrow,6,Varied Thrush,"White-throated Sparrows sing a pretty, thin whistle that sounds like Oh-sweet-canada-canada or Old-Sam-Peabody-Peabody. The whistles are even but typically move slightly up or down in pitch by the second or third note. The whole song lasts about 4 seconds. White-throated Sparrows sing often during the breeding season, even in the middle of the day, and on their winter range as well. Males of both forms sing, and so does the “white-striped” female. “Tan-striped” females sing very rarely.","The main call of the White-throated Sparrow is a sharp, explosive, chink, often given by an agitated bird with crown feathers raised, flicking its tail. It’s an alarm call often given near a nest or when a predator or other threat has been spotted. A two-parted chip-up is a sign of aggression between two birds or given when adults arrive at the nest. White-throated Sparrows also make a trill that can be up to 2 seconds long. Females do this as part of courtship; males sometimes use trills to signal aggression as they push their head forward and flutter their wings. Flock members make a high, level seep.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&taxonCode=whtspa&tag=song,Zonotrichia albicollis,YES,whtspa,Monotypic,Forests,Migration,R,22 Mar-31 May,7 Jun-23 Aug,30 Aug-6 Dec,0.0002,N/A,0.003,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Likely no residency during breeding season,,,,
White-winged Crossbill,6,?,"Both males and females sing a series of trills interspersed with rattles, chirps, and warbles; males sing more frequently and vigorously than females.",The commonly heard call from perched and flying birds is a rapid chut-chut-chut-chut similar to flight calls of redpolls.,"On a very calm day, crossbills can sometimes be located by the sound of their bills opening cones, a quiet but distinctive crunching sound.",https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=whwcro,Loxia leucoptera,FEW,whwcro,leucoptera,Forests,Nonbreeding,R,1 Mar-31 May,7 Jun-2 Aug,9 Aug-29 Nov,0.006,0.002,0.03,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Likely no residency during breeding season,,,,
Willow Flycatcher,7,?,,,,,,YES,wilfly,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Wilson's Warbler,6,Warblers,"The song of the Wilson’s Warbler is simple with a sweet quality. Their fast, slightly accelerating song is a string of similar notes, dropping downward in pitch toward the end, that ring loud and clear even next to noisy streams. Males sing for about 2 seconds, pause for several seconds and burst into song again, singing around 5 songs per minute. Unlike other warblers, females also occasionally sing. Males start singing just before they leave the wintering grounds and continue to sing throughout migration and on the breeding grounds. Once they start nesting, they sing less frequently.","Like other warblers, male and female Wilson’s Warblers give a single chip note to communicate with mates and young and to notify territory intruders. The chip sounds similar to someone giving a loud puckering kiss.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=wlswar,Cardellina pusilla,YES,wlswar,chryseola,Scrub,Breeding,C,1 Mar-21 Jun,28 Jun-19 Jul,26 Jul-8 Nov,0.1,0.06,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Spend time in forests during breeding season,1,,,1
Yellow Warbler,6,Warblers,Males sing a sweet series of 6–10 whistled notes that accelerate over the course of the roughly 1-second song and often end on a rising note. The tone is so sweet that people often remember it with the mnemonic sweet sweet sweet I’m so sweet. The songs are a common sound of spring and early summer mornings and may be repeated as often as 10 times per minute.,"Yellow Warblers use a variety of short chip notes, some with a metallic sound and some with a lisping or buzzing quality. Males sometimes alternate chip notes with their songs, and females may answer a song with a high-pitched chip. Both sexes use a high, hissing note in territorial defense, and may confront cowbirds with a seet call.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=call&taxonCode=yelwar1,Setophaga petechia,YES,yelwar,morcomi,Open Woodlands,Breeding,U,22 Feb-14 Jun,21 Jun-12 Jul,19 Jul-8 Nov,0.3,0.5,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Yellow-rumped Warbler,6,Warblers,"Males sing a slow, soft, sweetly whistled warble or trill. The pitch is mostly even but may rise or fall slightly, speeding up as it ends. Songs last 1-3 seconds and consist of up to 21 individual notes.","Yellow-rumped Warblers have two main calls. The more common one, a sharp chek, differs between the myrtle and Audubon's races. Both forms are quite recognizable and are a key call to learn for a bird watcher hoping to start sorting out migrating warblers in fall. Both sexes make this call frequently, both while foraging and while flying. Yellow-rumped Warblers also make a soft psit and a high tsee in flight.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=call&taxonCode=audwar,Setophaga coronata,YES,yerwar,auduboni,Forests,Year round,U,8 Mar-7 Jun,14 Jun-19 Jul,26 Jul-29 Nov,1,0.4,1.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
